Series,Figure,Rarity
Series 1,Hiding,
Series 1,Hugging Knees,
Series 1,Looking Back,
Series 1,Lounging,
Series 1,Peeking,
Series 1,Sitting,
Series 1,Little Lifting,
Series 1,Little Peeking,
Series 1,Little Hugging,
Series 1,The Scream,Secret
Series 1,Rudolph,Secret
Series 2,Climbing,
Series 2,Daydreaming,
Series 2,Kneeling,
Series 2,Listening,
Series 2,Peeking,
Series 2,Pushing,
Series 2,Venus,Secret
Series 2,Snowman,Secret
Series 3,Bridge,
Series 3,Climbing,
Series 3,Handstand,
Series 3,Hiding,
Series 3,Little,
Series 3,Peeking,
Series 3,The Thinker,Secret
Series 4,Defeated,
Series 4,Lazy,
Series 4,Relaxing,
Series 4,Scared,
Series 4,Sneaking,
Series 4,Stuck,
Series 4,Twin Angels,Secret
Toilet Series,Helping Out,
Toilet Series,Holding In,
Toilet Series,Little (Smelly),
Toilet Series,Peek-a-Boo,
Toilet Series,Resting,
Toilet Series,Squatting,
Toilet Series,Water Fountain,Secret
Bath Series,Dazed,
Bath Series,Looking,
Bath Series,Not Looking,
Bath Series,Scrubbing,
Bath Series,Shampooing,
Bath Series,With Duck,
Bath Series,Water Droplet,Secret
Living Series,Daydreaming,
Living Series,Hiding,
Living Series,Lifting,
Living Series,Nap Time,
Living Series,Playing,
Living Series,Thinking,
Living Series,Sunflower,Secret
Bed Series,At Sleep,
Bed Series,Before Rest,
Bed Series,Co-Sleeping,
Bed Series,Fussing,
Bed Series,Reading,
Bed Series,Sleepy,
Bed Series,Crescent Moon,Secret
Yoga Series,Lotus Pose,
Yoga Series,Ship Pose,
Yoga Series,Shouldstand Pose,
Yoga Series,Tree Pose,
Yoga Series,Triangle Pose,
Yoga Series,Twist Pose,
Yoga Series,Twin Hearts,Secret
Cheer Series,Little Cheerleading,
Cheer Series,Cheering,
Cheer Series,Dancing,
Cheer Series,Marching,
Cheer Series,On Drums,
Cheer Series,On Your Side,
Cheer Series,Trophy Angel,Secret
Museum Series,Bacchus,
Museum Series,Dali,
Museum Series,Fuzin and Razin,
Museum Series,Pearl Earring,
Museum Series,The Source,
Museum Series,Velazquez,
Museum Series,King Tut,Secret
Work Series,Little Group Think,
Work Series,Approving,
Work Series,Good Idea,
Work Series,On the Road,
Work Series,Presenting,
Work Series,Researching,
Work Series,Lucky Cat,Secret
Dressing Series,Loose Pants,
Dressing Series,Putting on Socks,
Dressing Series,Struggling,
Dressing Series,Sweater,
Dressing Series,Tight Pants,
Dressing Series,Underpants,
Dressing Series,Costume Bunny,Secret
Exercising Series,Little Balance,
Exercising Series,Aerobics,
Exercising Series,Doing Crunches,
Exercising Series,Dumbbell,
Exercising Series,Hoop,
Exercising Series,Stretch,
Exercising Series,Flexing,Secret
Moving Series,Green Thumb,
Moving Series,Little Teamwork,
Moving Series,Balancing Boxes,
Moving Series,Carrying Ladder,
Moving Series,Decorating,
Moving Series,Falling Down,
Moving Series,Teddy,Secret
Sunday Series,Blowing Bubbles,
Sunday Series,Gardening,
Sunday Series,Paper Airplane,
Sunday Series,Sing-Along,
Sunday Series,Skateboarding,
Sunday Series,Sunbathing,
Sunday Series,Dog Walk,Secret
Hippers,Smartphone,
Hippers,Climbing,
Hippers,Looking Out,
Hippers,Sticking,
Hippers,Dozing,
Hippers,Upside Down,
Hippers,Headphones,Secret
