Series,Figure,Rarity
Series 1,Spongebob,
Series 1,Watermelon,
Series 1,Toffee,
Series 1,Jelly,
Series 1,Keith Haring,
Series 1,Little Painter,
Series 1,Christmas,
Series 1,Instinctoy,
Series 1,Candy,
Series 1,The Girl from the Earth,Secret
Series 2-A/B,Meilin Panda,
Series 2-A/B,Jean-Michel Basquiat,
Series 2-A/B,Mint Chocolate,
Series 2-A/B,Banana 2017,
Series 2-A/B,Coca-Cola Classic (2A),
Series 2-A/B,Pink Panther,
Series 2-A/B,Patrick Star,
Series 2-A/B,Heartbeat,
Series 2-A/B,Glacier,
Series 2-A/B,Cheer Bear,Secret
Series 2-A/B,Birthday Bear,Secret
Series 2-A/B,Wish Bear,Secret
Series 2-A/B,Meta,Secret
Series 2-A/B,Melting,Secret
Series 3,Ted 2,
Series 3,Garfield,
Series 3,Good Luck Bear,
Series 3,Tenderheart Bear,
Series 3,TETRIS,
Series 3,Gary Baseman,
Series 3,Graffiti,
Series 3,Heartfelt Words,
Series 3,Peach 2016,
Series 3,Starry,Secret
Series 3,Louis De Guzman,
Series 3,Team Coca-Cola,
emoji Series,LMAO,
emoji Series,Admiration,
emoji Series,Confession,
emoji Series,886,
emoji Series,Frozen Smile,
emoji Series,Worn Out,
emoji Series,55555,
emoji Series,So What,
emoji Series,Pissed Off,
emoji Series,Lil Devil,
emoji Series,Why So Serious,
emoji Series,"Caution, the Ghost is Here",
emoji Series,Monkey Business,
emoji Series,Cow on Me,
emoji Series,Happy Puppy,
emoji Series,All in Green,
emoji Series,A Trying Situation,
emoji Series,Bad Words,
emoji Series,Open Minded,Secret
emoji Series,Unicorn,Secret
emoji Series,Ms. Billionaire,Secret
Series 4,Jon Burgerman,
Series 4,Trevor Andrew,
Series 4,Christmas2024,
Series 4,Optimus Prime,
Series 4,Orange Juice,
Series 4,Palmer House,
Series 4,DurianMan,
Series 4,Smitten Love,
Series 4,Funshine Bear,
Series 4,Bedtime Bear,
Series 4,Smitten Love-White,
Series 4,Christmas2024-Green,
Series 4,Purple Sweet Potato,
Series 4,Angel,Secret
Series 4,Celebration,Secret
Limited Editions,Snake White,
Limited Editions,Snake Red,
Limited Editions,Refraction,
Limited Editions,Seaweed BTS,
Limited Editions,Mickey and Minnie,
Limited Editions,Donald and Daisy Duck,
Limited Editions,CLOT-Olive Alienegra,
Limited Editions,Charlie Brown and Snoopy,
Limited Editions,Yves Saint Laurent 2022,
